|0.00
ARDUINO-MEGA|399.00
ARDUINO-NANO|129.00
ARDUINO-PROMICRO|177.00
ARDUINO-PROMINI|99.00
ARDUINO-UNO|229.00
ARDUINO-UNOCOMP|240.00
ARES10K|7.00
ARES1K|8.00
ARES3.9K|14.00
ARNES2P-2.0MM|7.00
ARNES2P-2.54MM|8.00
ARNES2P-2.5MM|8.00
ARNES3P-2.0MM|9.00
ARNES3P-2.54MM|10.00
ARNES3P-2.5MM|10.00
ARNES4P-2.0MM|11.00
ARNES4P-2.54MM|12.00
ARNES4P-2.5MM|12.00
ARNES5P-2.0MM|13.00
ARNES5P-2.54MM|14.00
ARNES5P-2.5MM|14.00
ARNES6P-2.0MM|15.00
ARNES6P-2.54MM|14.00
ARNES6P-2.5MM|16.00
AT89C2051|27.00
AT89C51|75.00
AT89C52|57.00
AT89S51|99.00
AT89S51-24JU|70.00
AT90S1200|69.00
AT90S8515|90.00
ATMEGA16|149.00
ATMEGA168|92.00
ATMEGA32|269.00
ATMEGA328|79.00
ATMEGA328P-AN|128.04
ATMEGA48A|129.00
ATMEGA8|78.00
ATMEGA8515|85.00
ATMEGA8535|135.00
ATR-001|0.00
ATRIL|349.00
ATTINY2313|79.50
AUDIFONOS|10.00
AZ1085T|22.50
BA159|3.50
BA3822|59.00
BA4558|59.00
BA6124|39.00
BA6209|35.00
BA6209N|15.00
BAFLE|250.00
BALERO|14.00
BANANADOBLETN|10.00
BANANADOBLETR|10.00
BANANAESCALABLE-N|8.50
BANANAESCALABLE-R|8.50
BANANANEGRA|4.00
BANANAROJA|4.00
BANANATN|4.50
BANANATR|4.50
BANCOLEDS|85.00
BANDA21|3.00
BANDA25|4.00
BANDA32|5.00
BANDA34|3.00
BANDA37|5.00
BANDA37-2|6.00
BANDA39|3.00
BANDA41|4.00
BANDA42|4.00
BANDA46|6.00
BANDA50|4.00
BANDA61|7.00
BANDA63|4.00
BANDA66|4.00
BANDA70|5.00
BANDA74|5.00
BANDA80|5.00
BANDA83|5.00
BANDA85|5.00
BANDADENTADACHI|45.00
BANDADENTADAGDE|45.00
BANDADENTADAMED|45.00
BARRADEFERRITA|9.50
BARRALEDS-R10|15.50
BARRALEDS-R12|23.00
BARRALEDS-V10|15.50
BARRALEDS-V12|23.00
BARRALEDS-V8|13.50
BAS14P|2.50
BAS16P|2.50
BAS18P|3.50
BAS20P|3.50
BAS22P|1.00
BAS24DEL|4.50
BAS24P|4.00
BAS28DEL|8.00
BAS28P|6.00
BAS32|4.00
BAS40P|5.00
BAS40P-TORNEADA|19.00
BAS6P|4.00
BAS8P|1.50
BASBRAZOMDF|50.00
BASE-PICKIT3|69.00
BASE-ULTRASONICO|25.00
BASEADHERIBLE|2.50
BASECAUTIN|85.00
BASEFOCO12V5W|13.50
BASELCD16X2|29.00
BASEPLC44|7.00
BASESIGUELINEAS|64.50
BASESIGUELINEAS-MDF|49.00
BASETRAN-TO3|4.00
BASEZIF18|39.00
BASEZIF28|55.00
BASEZIF40|49.00
BASPRO28P|3.00
BASPRO40P|8.00
BASUMO32|45.00
BASUMSEC32|45.00
BASWW|10.00
BAT6V-4A|180.00
BC107|19.50
BC182|4.50
BC237A|6.00
BC307|4.00
BC327A|3.50
BC327B|2.50
BC327C|3.50
BC337|4.00
BC337A|1.00
BC346A|2.50
BC517|8.00
BC537|4.00
BC537A|3.00
BC546A|2.50
BC546B|3.00
BC547A|3.00
BC547B|3.00
BC547B-MS|4.50
BC547C|3.00
BC548A|4.00
BC548B|4.00
BC549A|2.50
BC549B|4.00
BC549C|4.50
BC556A|3.00
BC556B|4.50
BC557A|3.00
BC557B|3.00
BC557B-MS|4.50
BC557C|3.00
BC558A|3.50
BC558B|4.00
BC558C|4.50
BC559B|3.00
BC559C|3.00
BC636|4.00
BD135|11.50
BD136|10.50
BD137|12.50
BD138|10.50
BD139|15.00
BD140|10.50
BD241A|12.00
BD438|9.50
BDX54C|27.50
BF199|6.50
BF459|0.00
BF494|15.50
BFR91A|48.00
BLOCK-A3|119.00
BLOCK-A4|79.00
BLOCK-A4CUADRI|0.00
BLUETOOTH-HC05|99.00
BLUETOOTH-HC06|99.00
BOB100mH|10.00
BOBINA0.1µH|55.00
BOBINA0.560µH|10.00
BOBINA1.8mHy|12.00
BOBINA100mHy|55.00
BOBINA100µH|12.00
BOBINA10mH|12.00
BOBINA10µH|12.00
BOBINA120µH|12.00
BOBINA150µH|12.00
BOBINA15mH|12.00
BOBINA15µH|12.00
BOBINA18mH|12.00
BOBINA18µH|12.00
BOBINA1mH|12.00
BOBINA1µH|12.00
BOBINA1µH-MS|0.00
BOBINA2.2mH|12.00
BOBINA20mH|12.00
BOBINA220µH|12.00
BOBINA22µH|12.00
BOBINA25mH|12.00
BOBINA25µH|12.00
BOBINA3.3mH|12.00
BOBINA3.5mH|11.00
BOBINA330µH|12.00
BOBINA33µH|12.00
BOBINA35µH|12.00
BOBINA39µH|0.00
BOBINA3mH|11.00
BOBINA3µH|12.00
BOBINA4.7mH|12.00
BOBINA4.7µH|12.00
BOBINA45µH|35.00
BOBINA470µH|12.00
BOBINA47mHy|25.00
BOBINA47µH|12.00
BOBINA5.6mH|11.00
BOBINA5mH|23.00
BOBINA5µH|12.00
BOBINA6.2mH|11.00
BOBINA6.5µH-MS|12.00
BOBINA6.8mH|12.00
BOBINA680µH|12.00
BOBINA68µH|12.00
BOBINA820µH|12.00
BOBINAP/BOCINA2.5|20.00
BOBINAP/BOCINA3.5|25.00
BOBINATESLA|255.00
BOCINA1.5W|21.00
BOCINA1/2W|13.50
BOCINA1/4W|14.50
BOCINA10W|239.00
BOCINA1W|19.00
BOCINA2W|19.00
BOCINA3W|21.00
BOCINA4OHMS15W|59.50
BOCINA5W|29.50
BOCINA7W|35.00
BOMBADEAGUA|59.00
BOMBADEAIRE|79.00
BORNECHI-AMA|4.50
BORNECHI-AZUL|9.00
BORNECHI-NEGRO|4.50
BORNECHI-ROJO|4.50
BORNEGDE-NEGRO|8.00
BORNEGDE-ROJO|8.00
BORNEMED-NEGRO|5.50
BORNEMED-ROJO|5.50
BORNERA-BOCINA|20.00
BORNEVER|9.00
BPW34|35.00
BRACKETS-PAR|39.50
BRAZOROBOT|450.00
BROBOT|590.00
BROCA1/16|18.00
BROCA1/32|18.00
BROCA1/32-VASTAGO|39.00
BROCA3/64|18.00
BROCA3/64-VASTAGO|39.00
BROCHEPILA|5.50
BROQUERO|250.00
BS170-D75Z|14.00
BT134-600E|23.00
BT136|19.00
BT137|19.50
BT151|22.50
BTA-600|0.00
BTA06-400V|28.00
BTA08|15.00
BTA12|29.50
BTA134-600E|0.00
BTA16|29.50
BTA24|49.00
BTA26|49.50
BTA26-400B|0.00
BTA41-400B|45.00
BTA41-800B|45.00
BTA412Y|59.00
BTB08|21.00
BTB16|25.00
BTRANSFORMADOR|45.00
BUJE-CHI|1.50
BUJE-GDE|0.00
BUJE-MED|2.00
BUJE-TO220|1.00
BUJE-TO3|1.50
BUV48A|35.00
BUX98A|36.00
BUZ11A|23.00
BUZ71A|14.00
BUZZER|20.50
BUZZERGDE|23.00
BY255|9.50
BY329|49.00
BYW-98-200|15.50
BYW29E-200|22.00
C106D|18.00
C1383|3.00
C2073|22.00
C6144|19.00
C9015|8.00
C945|8.50
CA3046|39.00
CA3054|7.00
CA3061|8.00
CA3080|77.00
CA3086|35.00
CA3096|39.50
CA3100|49.00
CA3140|75.00
CA3161|59.00
CABLE-ANTENA|5.00
CABLE-CAMARARASB|0.00
CABLE22A|4.00
CABLE22AZUL|4.00
CABLE22B|4.00
CABLE22N|5.00
CABLE22R|5.00
CABLE22V|4.00
CABLE3.5-2RCA1.8M|29.00
CABLE3.5-3RCA1.8M|35.00
CABLEARDUINO|29.00
CABLEAUXILIAR|25.00
CABLEAWG12NEGRO|17.50
CABLEAWG12ROJO|17.50
CABLEAWG14BLANCO|10.00
CABLEAWG14NEGRO|15.00
CABLEAWG14ROJO|15.00
CABLEAWG16AMA|6.50
CABLEAWG16AZUL|9.50
CABLEAWG16BLANCO|6.50
CABLEAWG16GRIS|6.50
CABLEAWG16NAR|6.50
CABLEAWG16NEGRO|9.50
CABLEAWG16ROJO|9.50
CABLEAWG16VERDE|9.50
CABLEAWG16VIOLETA|6.50
CABLEAWG18|5.50
CABLEAWG18AMA|5.50
CABLEAWG18AZUL|5.50
CABLEAWG18BLA|5.50
CABLEAWG18CAFE|5.50
CABLEAWG18GRIS|5.50
CABLEAWG18MOR|5.50
CABLEAWG18NAR|5.50
CABLEAWG18NEGRO|7.50
CABLEAWG18ROJO|5.50
CABLEAWG18VERDE|5.50
CABLEAWG20AMA|5.50
CABLEAWG20N|5.50
CABLEAWG20R|5.50
CABLECOAXIAL|8.00
CABLEDERED1.5M|16.00
CABLEDERED2.1M|20.00
CABLEDERED3M-C|29.00
CABLEDERED3M-R|29.00
CABLEDUPLEX14|11.50
CABLEDUPLEX16|8.50
CABLEDUPLEX18|9.50
CABLEDUPLEX22|3.50
CABLEFTP|29.50
CABLEHC11|20.00
CABLEHDMI|89.00
CABLEHDMI/MICROHDMI|119.00
CABLEHDMI/MINIHDMI|69.00
CABLELUMINOSO-AZ|190.00
CABLELUMINOSO-BLA|190.00
CABLELUMINOSO-VER|190.00
CABLEMICMONO|17.00
CABLEMICSTEREO|15.50
CABLEOTG|19.50
CABLEPARALELO|35.00
CABLEPOT16|12.50
CABLEPOT18|9.50
CABLERCA-2|19.00
CABLERCA-3|19.00
CABLERG-6|16.00
CABLESECG|159.00
CABLESERIAL|119.00
CABLESERIAL-USB|59.00
CABLESTM32|30.00
CABLETELEFONICO|5.00
CABLETELEFONICO2.1M|19.00
CABLETELEFONICO4.5M|23.00
CABLEUSB-MICROUSB|24.50
CABLEUSB-MINI|19.50
CABLEUSB/HEMBRA-A|39.00
CABLEUSB/TTL|89.00
CABLEUSB/TTL6PINES|169.00
CABLEUSBMACHO-MACHO|35.00
CABLEUSBPLUG/A-B|49.50
CABLEUSORUDO12|25.00
CABLEUTP|5.50
CABLEUTPCAT6|10.50
CAIMANEGRO|3.50
CAIMANFLECHANEGRO|19.50
CAIMANFLECHAROJO|19.50
CAIMANGDENE|4.00
CAIMANGDERO|4.00
CAIMAROJO|3.50
CAJA4550|65.00
CAJADEARDUINO-MEGA|75.00
CAJADEARDUINO-UNO|55.00
CAJADEREGISTRO|9.50
CAJAHER/SEPARADORES|119.00
CAJAPRETUL13|129.00
CAJAPRETUL14-ROSA|249.00
CAJAPRETUL16|99.00
CAJARASPBERRY|89.00
CAJAREDUCTORA|59.00
CAJATOQUES|359.00
CAJATRUPER14|179.00
CAJATRUPER16-PESCA|269.00
CALAVERA-MET|15.00
CALEFACTOR127V|8.50
CANALETA|40.00
CANDADO25MM|24.00
CANDADO30MM|33.00
CAPUCHONES10-12|3.00
CAPUCHONES12-14|2.50
CAPUCHONES14-16|2.00
CAPUCHONES16-18|1.50
CAPUCHONES8-10|3.50
CARGADOR-RASP|0.00
CARGADOR-RASPI4|179.00
CARGADOR4PILAS|289.00
CARGADORCABLELUM|70.00
CARGADORDEPILAS|179.00
CARGADORDEPILAS/LITIO|221.00
CARRETE25X25|15.00
CARÁTULA|79.50
CASENEGRO-RASPPI4|119.00
CASEROJO-RASBPI4B|137.00
CAUTIN-150W|128.00
CAUTIN-40W|99.00
CAUTIN-AM|86.00
CAUTIN-AZ|124.00
CAUTIN-NE|85.00
CAUTIN-SD-040|149.00
CAUTIN-SD-043RL|179.00
CAUTIN-TS031|129.00
CAUTIN-TS032|179.00
CAUTIN-TS043|169.00
CAUTIN-WELLER|350.00
CAUTINDEESTACION|389.00
CAUTINDEESTACION-MS|348.00
CAUTINPRETUL30W|99.00
CAUTINTRUPER30W|99.00
CBRUSHLESS|199.00
CC0.0015µf|3.00
CC0.001µf|2.00
CC0.0022µf|2.00
CC0.0027µf|2.50
CC0.0033µf|2.00
CC0.0039µf|3.00
CC0.0047µf|2.00
CC0.0056µf|2.50
CC0.0068µf|2.00
CC0.0082µf|3.00
CC0.015µf|2.00
CC0.01µf|2.00
CC0.01µf/63V-MS|1.50
CC0.022µf|2.00
CC0.027µf|2.00
CC0.033µf|3.00
CC0.039µf|2.50
CC0.047µf|2.00
CC0.056µf|2.50
CC0.068µf|2.00
CC0.082µf|3.50
CC0.15µf|3.50
CC0.1µf|2.00
CC0.1µf/50V-MS|1.50
CC0.22µf|2.00
CC0.22µf/50V-MS|2.00
CC1.2pf|2.00
CC1.5pf|2.00
CC1.8pf|2.00
CC100pf|2.00
CC10pf|2.00
CC120pf|3.00
CC12pf|2.00
CC150pf|2.00
CC15pf|2.00
CC180pf|2.50
CC18pf|2.00
CC18µf/63V-MS|0.00
CC1pf|2.00
CC1µf|2.00
CC1µf/50V-MS|1.00
CC2.2pf|2.00
CC2.7pf|2.00
CC220pf|2.00
CC22pf|2.00
CC270pf|2.00
CC27pf|3.00
CC2pf|2.00
CC3.3pf|2.00
CC3.9pf|2.00
CC30pf|2.00
CC330pf|2.00
CC33pf|2.00
CC390pf|2.00
CC39pf|2.00
CC4.7pf|2.50
CC4.7µf/63V-MS|0.00
CC470pf|2.00
CC47pf|2.00
CC5.6pf|2.50
CC560pf|2.00
CC56pf|2.00
CC5pf|2.00
CC6.8pf|2.00
CC680pf|2.00
CC68pf|2.00
CC75pf|2.00
CC8.2pf|2.00
CC820pf|2.00
CC82pf|2.00
CD4536BE|20.00
CE0.1µf/100V|2.00
CE0.1µf/100V-MS|2.50
CE0.1µf/250V|3.00
CE0.1µf/50V|1.50
CE0.1µf/50V-MS|2.50
CE0.22µf/50V|2.00
CE0.33µf/100V|5.50
CE0.33µf/50V|3.00
CE0.47µf/100V|2.00
CE0.47µf/50V|3.50
CE0.47µf/63V|2.00
CE10,000µf/25V|49.00
CE10,000µf/50V|65.00
CE1000µf|1.00
CE1000µf/100V|59.00
CE1000µf/16V|9.50
CE1000µf/250V|99.00
CE1000µf/25V|7.00
CE1000µf/25V-MS|17.00
CE1000µf/35V|8.00
CE1000µf/50V|9.00
CE1000µf/6.3V|13.00
CE1000µf/63V|19.00
CE100µf/100V|0.00
CE100µf/16V|3.00
CE100µf/16V-MS|4.00
CE100µf/250V|19.00
CE100µf/25V|2.50
CE100µf/25V-MS|7.00
CE100µf/35V|4.00
CE100µf/35V-MS|7.00
CE100µf/400V|59.00
CE100µf/450V|25.00
CE100µf/50V|3.00
CE100µf/6.3V-MS|2.50
CE100µf/63V|5.00
CE100µf/80V|5.50
CE10uf/16V-MS|2.00
CE10µf/100V|0.00
CE10µf/16V|1.50
CE10µf/250V|12.50
CE10µf/25V|3.00
CE10µf/50V|3.00
CE10µf/50V-MS|4.50
CE10µf/63V|2.50
CE1200µf/250V|79.00
CE1200µf/25V|17.00
CE1200µf/35V|21.00
CE1200µf/63V|15.00
CE15,000µf/50V|115.00
CE1500µf/25V|19.00
CE1500µf/35V|6.00
CE1500µf/50V|15.00
CE150µf/25V|3.50
CE150µf/35V|3.50
CE150µf/50V|10.00
CE15µf/50V|6.50
CE1800µf/25V|9.50
CE1800µf/6.3V|17.00
CE1800µf/63V|25.00
CE180µf/50V|9.50
CE18µf/63V-MS|2.00
CE1µf|1.00
CE1µf/100V|4.50
CE1µf/250V|9.50
CE1µf/25V|1.50
CE1µf/400V|4.00
CE1µf/50V|2.00
CE1µf/50V-MS|1.50
CE1µf/63V|2.00
CE2.2µf/250V|5.00
CE2.2µf/50V|2.00
CE2.2µf/63V|2.00
CE2200µf/16V|7.50
CE2200µf/25V|13.50
CE2200µf/35V|11.00
CE2200µf/50V|19.50
CE2200µf/63V|29.50
CE220µf/16V|1.50
CE220µf/200V|14.00
CE220µf/250V|35.00
CE220µf/25V|3.00
CE220µf/25V-MS|7.00
CE220µf/400V|89.00
CE220µf/450V|89.00
CE220µf/50V|4.00
CE22µf/100V|9.50
CE22µf/16V|2.00
CE22µf/16V-MS|2.50
CE22µf/250V|7.50
CE22µf/25V|2.50
CE22µf/25V-MS|3.00
CE22µf/50V|3.00
CE22µf/63V|3.50
CE270µf/250V|14.00
CE3.3µf/50V|2.50
CE3.3µf/63V|2.50
CE3300µf/25V|16.50
CE3300µf/35V|18.00
CE3300µf/50V|29.00
CE3300µf/63V|29.00
CE330µf/250V|65.00
CE330µf/25V|4.50
CE330µf/25V-MS|2.50
CE330µf/50V|5.00
CE330µf/63V|10.00
CE33µf/16V|1.50
CE33µf/16V-MS|2.50
CE33µf/250V|18.50
CE33µf/25V|3.50
CE33µf/400V|24.00
CE33µf/450V|25.00
CE33µf/50V|3.00
CE33µf/63V|3.50
CE3900µf/100V|99.00
